,Unnamed: 0,title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
252,268,"M 6.5 - 92 km SSW of Blenheim, New Zealand",6.5,13-11-2016 11:32,6,7,yellow,1,656,us,0,0.135,58.0,mww,10.0,-42.32,173.67,"Blenheim, New Zealand",Oceania,New Zealand
253,269,"M 7.8 - 53 km NNE of Amberley, New Zealand",7.8,13-11-2016 11:02,9,9,orange,1,1545,us,0,0.481,21.0,mww,15.11,-42.74,173.05,"Amberley, New Zealand",Oceania,New Zealand
254,270,"M 6.6 - 5 km ESE of Preci, Italy",6.6,30-10-2016 06:40,9,8,red,0,2840,us,0,0.174,25.0,mww,8.0,42.86,13.1,"Preci, Italy",Europe,Italy
255,271,"M 6.6 - 161 km NNE of Pamanukan, Indonesia",6.6,19-10-2016 00:26,3,3,green,0,677,us,0,2.022,16.0,mww,614.0,-4.86,108.16,"Pamanukan, Indonesia",Asia,Indonesia
256,272,"M 6.8 - 76 km WNW of Kandrian, Papua New Guinea",6.8,17-10-2016 06:14,3,6,green,1,716,us,0,3.727,11.0,mww,42.0,-6.0,148.89,"Kandrian, Papua New Guinea",Oceania,Papua New Guinea
257,273,M 6.9 - Fiji region,6.9,24-09-2016 21:28,2,3,green,1,733,us,0,4.051,9.0,mww,596.4,-19.78,-178.24,Fiji region,Oceania,Fiji
258,274,"M 7.0 - 175 km NE of Gisborne, New Zealand",7.0,01-09-2016 16:37,5,6,green,1,897,us,0,0.698,21.0,mww,19.0,-37.36,179.15,"Gisborne, New Zealand",Oceania,New Zealand
259,275,"M 6.8 - 90 km NE of Rabaul, Papua New Guinea",6.8,31-08-2016 03:11,4,3,green,1,713,us,0,0.803,12.0,mww,476.0,-3.68,152.79,"Rabaul, Papua New Guinea",Oceania,Papua New Guinea
260,276,"M 6.8 - 26 km W of Chauk, Myanmar",6.8,24-08-2016 10:34,6,6,yellow,0,981,us,0,1.802,17.0,mww,82.0,20.92,94.57,"Chauk, Myanmar",Asia,Myanmar
261,277,M 7.2 - southeast of the Loyalty Islands,7.2,12-08-2016 01:26,6,5,green,1,799,us,0,4.823,14.0,mww,16.37,-22.48,173.12,the Loyalty Islands,Europe,France
262,278,"M 7.7 - Pagan region, Northern Mariana Islands",7.7,29-07-2016 21:18,5,6,green,1,971,us,0,3.294,14.0,mww,196.0,18.54,145.51,"Pagan region, Northern Mariana Islands",North America,United States
263,279,"M 6.6 - 80 km W of Sungai Penuh, Indonesia",6.6,01-06-2016 22:56,4,6,green,0,671,us,0,2.435,16.0,mww,50.0,-2.1,100.66,"Sungai Penuh, Indonesia",Asia,Indonesia
264,282,"M 6.9 - 24 km NW of Rosa Zarate, Ecuador",6.9,18-05-2016 16:46,8,7,green,1,780,us,0,1.192,17.0,mww,29.95,0.49,-79.62,"Rosa Zarate, Ecuador",South America,Ecuador
265,283,"M 6.7 - 32 km SE of Muisne, Ecuador",6.7,18-05-2016 07:57,5,7,green,1,744,us,0,1.352,21.0,mww,16.0,0.43,-79.79,"Muisne, Ecuador",South America,Ecuador
266,284,"M 7.0 - 3 km NW of Norsup, Vanuatu",7.0,28-04-2016 19:33,7,7,green,1,755,us,0,0.616,14.0,mww,24.0,-16.04,167.38,"Norsup, Vanuatu",Oceania,Vanuatu
267,285,"M 7.8 - 27 km SSE of Muisne, Ecuador",7.8,16-04-2016 23:58,9,9,orange,1,1163,us,0,1.44,15.0,mww,20.59,0.38,-79.92,"Muisne, Ecuador",South America,Ecuador
268,286,"M 7.0 - 6 km ESE of Kumamoto, Japan",7.0,15-04-2016 16:25,9,9,red,1,2074,us,0,0.349,32.0,mww,10.0,32.79,130.75,"Kumamoto, Japan",Asia,Japan
269,287,"M 6.9 - 76 km SE of Mawlaik, Myanmar",6.9,13-04-2016 13:55,6,6,yellow,0,903,us,0,3.001,14.0,mww,136.0,23.09,94.87,"Mawlaik, Myanmar",Asia,Myanmar
270,288,"M 6.6 - 42 km WSW of Ashk?sham, Afghanistan",6.6,10-04-2016 10:28,6,4,green,0,738,us,0,0.789,17.0,mww,212.0,36.47,71.13,"Ashk?sham, Afghanistan",Asia,Afghanistan
271,289,"M 6.7 - 104 km W of Sola, Vanuatu",6.7,07-04-2016 03:32,7,5,green,1,692,us,0,6.787,25.0,mww,27.59,-13.98,166.59,"Sola, Vanuatu",Oceania,Vanuatu
272,290,"M 6.7 - 102 km WSW of Sola, Vanuatu",6.7,06-04-2016 06:58,7,6,green,1,691,us,0,6.697,19.0,mww,24.0,-14.07,166.62,"Sola, Vanuatu",Oceania,Vanuatu
273,291,"M 6.9 - 82 km NNW of Port-Olry, Vanuatu",6.9,03-04-2016 08:23,7,6,green,1,734,us,0,1.166,25.0,mww,26.0,-14.32,166.86,"Port-Olry, Vanuatu",Oceania,Vanuatu
274,292,"M 7.8 - southwest of Sumatra, Indonesia",7.8,02-03-2016 12:49,4,3,green,0,948,us,0,7.009,20.0,mww,24.0,-4.95,94.33,"Sumatra, Indonesia",Asia,Indonesia
275,293,"M 7.2 - 80 km S of Mil’kovo, Russia",7.2,30-01-2016 03:25,3,7,green,1,799,us,0,0.958,17.0,mww,177.0,53.98,158.55,"Mil’kovo, Russia",Asia,Russian Federation
276,294,"M 7.1 - 47 km ESE of Pedro Bay, Alaska",7.1,24-01-2016 10:30,7,7,green,1,1496,ak,0,0.0,0.0,mw,125.6,59.62,-153.34,"Pedro Bay, Alaska",North America,United States
277,295,"M 6.6 - 203 km SW of La Cruz de Loreto, Mexico",6.6,21-01-2016 18:06,3,4,green,1,673,us,0,2.413,74.0,mww,10.0,18.82,-106.93,"La Cruz de Loreto, Mexico",North America,Mexico
278,296,"M 6.7 - 52 km SE of Shizunai-furukawach?, Japan",6.7,14-01-2016 03:25,5,6,green,1,717,us,0,0.281,22.0,mww,46.0,41.97,142.78,"Shizunai-furukawach?, Japan",Asia,Japan
279,297,"M 6.5 - 227 km SE of Sarangani, Philippines",6.5,11-01-2016 16:38,3,6,green,1,651,us,0,3.144,22.0,mww,13.0,3.9,126.86,"Sarangani, Philippines",Asia,Indonesia
280,298,"M 6.7 - 29 km W of Imph?l, India",6.7,03-01-2016 23:05,8,7,orange,0,1515,us,0,1.794,16.0,mww,55.0,24.8,93.65,"Imph?l, India",Asia,India
281,299,"M 6.6 - 4 km W of Manuel Ávila Camacho (Ponte Duro), Mexico",6.6,17-12-2015 19:49,8,6,green,1,765,us,0,0.41,35.0,mww,85.0,15.8,-93.63,"Manuel Ávila Camacho (Ponte Duro), Mexico",North America,Mexico
282,300,"M 6.9 - 107 km SE of Amahai, Indonesia",6.9,09-12-2015 10:21,8,5,green,0,738,us,0,2.979,14.0,mww,21.0,-4.11,129.51,"Amahai, Indonesia",Asia,Indonesia
283,301,"M 7.2 - 104 km W of Murghob, Tajikistan",7.2,07-12-2015 07:50,4,7,green,0,827,us,0,1.116,18.0,mww,22.0,38.21,72.78,"Murghob, Tajikistan",Asia,Tajikistan
284,302,"M 6.7 - 125 km SSW of Tarauacá, Brazil",6.7,26-11-2015 05:45,2,3,green,0,691,us,0,2.033,19.0,mww,602.75,-9.18,-71.26,"Tarauacá, Brazil",South America,Brazil
285,303,"M 7.6 - 185 km WNW of Iñapari, Peru",7.6,24-11-2015 22:50,5,4,green,0,896,us,0,2.852,10.0,mww,620.56,-10.06,-71.02,"Iñapari, Peru",South America,Peru
286,304,"M 7.6 - 155 km WNW of Iñapari, Peru",7.6,24-11-2015 22:45,6,5,green,1,957,us,0,3.287,10.0,mww,606.21,-10.54,-70.94,"Iñapari, Peru",South America,Peru
287,305,"M 6.8 - 153 km WSW of Buala, Solomon Islands",6.8,18-11-2015 18:31,5,6,green,1,715,us,0,1.599,19.0,mww,12.59,-8.9,158.42,"Buala, Solomon Islands",Oceania,Solomon Islands
288,306,"M 6.5 - 19 km SSW of Lefkáda, Greece",6.5,17-11-2015 07:10,7,7,orange,0,1018,us,0,0.0,0.0,mww,11.0,38.67,20.6,"Lefkáda, Greece",Europe,Greece
289,307,"M 6.7 - 140 km WSW of Makurazaki, Japan",6.7,13-11-2015 20:51,5,4,green,0,702,us,0,1.444,17.0,mww,12.0,31.0,128.87,"Makurazaki, Japan",Asia,Japan
290,308,"M 6.9 - 85 km NW of Coquimbo, Chile",6.9,11-11-2015 02:46,5,6,green,0,744,us,0,0.821,43.0,mww,10.0,-29.51,-72.06,"Coquimbo, Chile",South America,Chile
291,309,"M 6.9 - 81 km NW of Coquimbo, Chile",6.9,11-11-2015 01:54,6,6,green,1,761,us,0,0.784,32.0,mww,12.0,-29.51,-72.01,"Coquimbo, Chile",South America,Chile
292,310,"M 6.6 - Nicobar Islands, India region",6.6,08-11-2015 16:47,7,4,green,0,675,us,0,2.792,31.0,mww,10.0,6.84,94.65,"Nicobar Islands, India region",Asia,India
